Wins,NetRtg,DRtg,ORtgSOS Rank,Losses,Conf,Team_Name,Winner
18,1.6,99.9,223,11,12,119,0.0
21,1.47,102.7,267,11,25,120,0.0
22,-0.28,106.6,280,14,20,121,0.0
24,-0.49,102.6,358,7,30,122,0.0
19,-1.28,98.9,333,13,29,98,0.0
22,-1.32,105.1,345,10,31,123,0.0
23,-6.55,103.2,341,12,13,95,0.0
31,36.48,89.9,70,1,6,11,0.8333333333333334
28,33.87,91.1,64,2,1,14,1.0
23,29.67,87.9,9,5,2,103,0.5
24,29.06,88.9,5,7,2,9,0.16666666666666666
28,28.75,89.6,105,4,9,1,0.6666666666666666
25,27.58,88.1,19,8,4,80,0.5
22,26.87,96.7,31,9,2,79,0.16666666666666666
23,25.1,91.2,32,9,4,22,0.3333333333333333
26,25.09,87.8,35,7,3,13,0.3333333333333333
26,24.32,87.0,110,5,11,104,0.3333333333333333
21,23.58,97.1,10,10,2,106,0.0
18,23.02,96.0,51,7,0,99,0.3333333333333333
22,22.43,94.5,14,10,4,68,0.6666666666666666
18,22.4,90.6,7,13,2,16,0.16666666666666666
18,22.12,92.8,46,7,5,124,0.16666666666666666
21,21.85,95.4,26,7,4,44,0.3333333333333333
18,21.81,90.9,67,11,1,28,0.16666666666666666
25,21.56,89.6,49,7,3,73,0.5
18,21.42,93.3,40,7,5,47,0.0
20,21.12,92.5,57,7,6,17,0.0
15,20.61,92.5,69,8,0,0,0.0
22,20.59,92.8,63,9,0,10,0.3333333333333333
19,20.51,96.3,45,10,1,70,0.16666666666666666
19,20.35,99.8,66,10,3,101,0.16666666666666666
18,20.33,92.9,16,10,2,2,0.0
19,20.31,92.8,54,8,1,23,0.0
21,19.98,90.2,25,9,1,25,0.16666666666666666
18,19.95,88.1,60,9,3,4,0.0
23,19.88,91.1,97,5,7,20,0.0
16,19.04,91.0,92,5,8,125,0.0
21,18.95,90.7,18,9,1,126,0.16666666666666666
18,18.62,91.7,21,11,5,8,0.0
17,17.63,94.1,34,14,2,74,0.16666666666666666
17,17.5,96.2,65,9,5,127,0.0
16,17.48,90.6,3,12,2,114,0.16666666666666666
16,17.06,95.1,47,11,1,105,0.16666666666666666
15,16.95,94.1,36,10,3,24,0.16666666666666666
18,16.75,96.9,48,10,5,128,0.3333333333333333
20,16.4,95.7,15,13,4,129,0.5
16,15.48,90.9,43,8,5,18,0.0
20,15.34,89.5,118,9,7,40,0.0
16,15.14,95.5,33,10,3,82,0.0
19,15.04,90.2,93,7,8,84,0.0
15,14.44,95.3,72,7,5,100,0.0
26,14.27,98.2,155,5,11,42,0.0
22,13.63,96.2,187,5,25,91,0.0
13,12.91,95.0,27,13,0,130,0.0
15,12.9,94.2,2,13,2,15,0.0
16,12.3,97.2,96,6,9,131,0.0
18,11.76,95.0,126,10,21,132,0.16666666666666666
17,10.47,100.9,99,8,19,133,0.16666666666666666
24,10.11,91.6,287,5,13,134,0.16666666666666666
14,9.25,101.0,282,2,23,59,0.0
23,8.6,101.2,283,6,27,135,0.0
23,8.48,96.5,281,2,24,136,0.0
17,8.32,97.1,211,7,10,41,0.0
16,8.19,101.3,212,8,28,137,0.0
21,7.79,95.8,163,9,14,138,0.0
18,4.83,104.4,120,11,22,85,0.3333333333333333
23,3.19,97.4,209,8,18,54,0.0
12,0.67,105.8,229,8,16,139,0.0
19,-0.13,100.7,122,8,20,140,0.0
12,-0.78,101.0,312,6,26,86,0.0
15,-2.98,100.0,289,9,17,141,0.0
17,-4.37,104.2,341,9,29,98,0.0
17,-4.47,103.6,318,8,30,122,0.0
17,-4.71,103.1,254,12,12,142,0.0
12,-6.62,101.1,285,11,31,143,0.0
35,34.22,89.2,34,3,5,47,1.0
33,32.85,91.6,69,4,6,11,0.5
32,30.81,90.2,7,7,2,15,0.6666666666666666
32,30.62,89.3,4,6,5,6,0.5
31,30.03,84.1,19,7,1,28,0.8333333333333334
30,28.32,86.2,35,7,2,103,0.3333333333333333
29,27.69,92.0,2,7,5,8,0.3333333333333333
30,27.57,90.1,5,7,3,21,0.5
26,26.81,95.6,13,10,2,2,0.5
31,26.24,96.5,23,6,3,4,0.3333333333333333
30,25.0,95.9,3,10,3,3,0.6666666666666666
33,24.13,91.2,92,4,9,1,0.3333333333333333
26,24.07,94.0,49,9,5,100,0.3333333333333333
29,22.39,90.4,20,8,5,124,0.3333333333333333
23,22.09,96.8,29,12,1,7,0.0
23,21.94,88.5,14,11,2,16,0.0
26,21.57,92.3,1,10,1,25,0.16666666666666666
30,20.69,97.4,83,5,14,144,0.16666666666666666
28,20.22,97.5,30,7,3,101,0.3333333333333333
25,20.06,88.4,31,9,1,72,0.0
23,20.04,97.6,17,11,3,30,0.0
32,19.85,95.4,100,4,19,145,0.16666666666666666
20,19.35,94.4,10,14,5,146,0.0
23,19.29,94.1,18,11,2,74,0.16666666666666666
20,18.3,92.2,6,16,3,24,0.16666666666666666
29,18.18,95.9,111,5,7,33,0.0
25,17.86,91.7,59,13,4,44,0.3333333333333333
28,17.5,94.8,66,7,9,147,0.0
26,17.33,99.2,44,10,0,99,0.16666666666666666
22,17.31,97.4,76,12,6,19,0.0
20,16.94,94.1,11,14,1,105,0.16666666666666666
24,16.52,96.7,63,10,0,12,0.0
24,16.51,95.6,90,9,9,148,0.16666666666666666
20,16.48,98.8,43,14,1,14,0.16666666666666666
23,16.02,101.3,42,12,2,79,0.16666666666666666
28,15.41,97.2,147,7,7,40,0.0
20,15.13,95.3,46,14,5,128,0.0
25,14.89,89.5,120,8,8,84,0.0
20,14.66,94.4,8,15,2,106,0.16666666666666666
22,14.35,97.0,15,14,2,149,0.16666666666666666
27,14.28,93.5,62,9,4,150,0.16666666666666666
27,14.09,101.5,183,6,18,151,0.0
20,13.98,99.2,38,13,3,152,0.0
28,13.83,98.6,222,5,18,107,0.16666666666666666
30,13.62,99.3,235,5,10,115,0.0
23,11.55,98.2,64,11,4,81,0.0
29,11.54,99.6,245,7,27,135,0.16666666666666666
20,11.5,97.5,36,14,0,110,0.0
23,9.72,99.5,77,10,9,153,0.0
31,9.16,98.2,243,6,25,154,0.16666666666666666
27,8.86,99.6,311,7,17,52,0.0
22,8.79,102.8,224,8,15,50,0.0
21,7.61,101.0,70,13,0,155,0.0
23,7.59,103.4,78,11,16,156,0.0
26,7.14,102.3,186,9,20,94,0.0
23,6.02,96.2,150,13,8,157,0.0
26,5.45,96.0,244,9,21,158,0.0
24,4.85,102.8,121,10,12,119,0.0
24,4.6,105.9,254,11,23,59,0.0
26,3.53,103.9,259,9,28,159,0.0
27,1.35,102.0,326,7,13,134,0.0
20,0.09,101.4,242,15,11,160,0.0
23,-0.04,107.8,210,12,24,161,0.0
17,-2.88,109.7,314,16,26,86,0.0
19,-3.2,110.6,138,16,22,162,0.0
22,-4.13,106.2,343,13,29,163,0.0
21,-4.22,110.7,335,14,31,97,0.0
18,-11.55,109.3,353,16,30,164,0.0
36,33.76,94.0,10,4,0,99,1.0
31,29.53,85.6,33,3,5,47,0.0
29,28.86,93.6,30,8,5,6,0.5
31,26.6,86.8,89,5,9,147,0.16666666666666666
30,26.27,96.4,51,7,2,2,0.3333333333333333
30,25.41,93.8,63,5,2,15,0.16666666666666666
33,24.2,90.5,7,8,2,103,0.8333333333333334
26,23.59,96.7,5,11,5,8,0.16666666666666666
31,23.49,97.4,3,8,1,25,0.6666666666666666
32,23.03,95.1,102,5,6,11,0.3333333333333333
27,22.59,90.8,23,10,1,28,0.5
26,22.44,96.9,38,11,1,70,0.3333333333333333
26,22.27,92.4,13,9,3,4,0.16666666666666666
25,21.65,92.6,26,10,5,18,0.3333333333333333
29,21.51,98.6,37,6,0,69,0.16666666666666666
25,21.16,94.9,40,9,2,106,0.16666666666666666
26,20.44,95.4,22,11,3,21,0.3333333333333333
27,20.24,94.4,95,8,9,1,0.16666666666666666
21,19.05,97.2,1,14,0,165,0.16666666666666666
25,19.03,101.9,79,8,9,131,0.0
21,18.96,95.5,31,13,3,24,0.16666666666666666
26,18.69,96.7,58,8,3,3,0.16666666666666666
21,18.47,101.2,24,12,1,36,0.0
29,18.39,101.8,87,8,7,33,0.3333333333333333
22,18.04,98.8,27,12,0,110,0.16666666666666666
23,17.77,96.5,45,12,5,124,0.5
27,17.7,100.4,65,8,4,5,0.0
22,16.96,94.4,2,13,3,31,0.3333333333333333
21,16.91,98.6,21,12,0,10,0.0
32,16.39,95.0,156,6,11,104,0.6666666666666666
21,16.03,99.3,47,12,5,100,0.0
19,15.43,94.1,8,15,1,23,0.0
22,15.43,97.4,52,10,5,75,0.0
20,14.83,97.0,41,13,3,82,0.0
23,14.82,92.2,9,14,5,128,0.3333333333333333
25,14.77,95.3,14,12,1,72,0.5
21,14.7,102.3,116,12,8,109,0.0
23,14.69,101.7,28,12,3,73,0.0
21,14.52,101.8,62,12,5,38,0.0
18,14.16,100.5,11,14,1,105,0.0
20,14.13,102.6,77,12,4,81,0.0
22,14.09,96.4,80,11,7,20,0.0
26,13.93,97.2,75,8,8,166,0.16666666666666666
21,13.52,101.4,72,12,4,68,0.0
20,13.41,95.2,19,16,3,13,0.16666666666666666
28,12.92,95.0,193,6,10,115,0.0
26,12.19,100.7,253,6,18,107,0.0
21,12.17,96.7,4,14,0,78,0.0
27,11.53,103.2,145,9,19,145,0.16666666666666666
26,11.21,99.5,86,8,8,125,0.0
26,10.4,98.4,192,8,28,159,0.0
28,10.2,103.6,113,7,22,58,0.0
27,9.22,95.7,210,8,14,138,0.0
25,7.31,102.2,260,10,23,167,0.0
24,6.92,101.9,229,11,12,119,0.0
25,6.53,102.9,118,11,21,168,0.16666666666666666
28,5.58,99.0,330,7,13,169,0.0
26,5.16,103.6,153,8,16,170,0.0
24,3.69,99.4,209,9,15,171,0.0
25,2.89,97.7,266,10,20,121,0.0
20,2.63,107.3,240,14,26,86,0.0
20,0.62,103.1,204,12,25,120,0.0
25,0.5,102.6,267,11,17,172,0.16666666666666666
23,0.43,102.8,235,10,27,173,0.0
23,0.07,102.9,259,13,24,174,0.0
16,-6.65,111.2,318,20,29,98,0.0
18,-8.27,110.6,334,17,31,175,0.0
19,-13.41,110.0,349,16,30,164,0.0
37,32.05,86.3,84,2,6,11,0.8333333333333334
32,29.88,92.5,38,4,0,99,0.16666666666666666
33,28.22,92.5,4,7,5,8,1.0
32,27.72,91.4,24,6,3,21,0.5
27,27.5,89.5,28,9,3,24,0.5
31,27.45,94.5,10,5,1,25,0.5
28,27.17,89.4,34,9,1,70,0.3333333333333333
31,26.14,92.6,130,5,11,131,0.16666666666666666
25,25.51,91.7,7,9,5,146,0.16666666666666666
33,25.02,93.2,47,6,4,44,0.6666666666666666
30,24.73,95.0,117,5,9,111,0.0
23,24.29,88.0,8,11,5,47,0.16666666666666666
27,24.23,92.9,6,8,1,14,0.3333333333333333
28,24.17,96.8,13,9,5,6,0.16666666666666666
29,23.67,95.0,163,5,6,19,0.16666666666666666
31,23.63,100.4,67,5,4,68,0.3333333333333333
24,23.45,96.3,2,11,1,7,0.16666666666666666
32,23.31,95.1,56,5,4,5,0.3333333333333333
27,23.12,93.9,39,8,2,2,0.3333333333333333
26,23.05,99.2,26,12,2,103,0.3333333333333333
27,22.99,92.1,22,10,2,16,0.3333333333333333
20,22.48,103.5,5,13,1,126,0.0
30,22.18,92.8,75,6,9,147,0.16666666666666666
26,20.8,88.1,31,11,3,43,0.6666666666666666
25,20.76,97.0,17,9,0,165,0.3333333333333333
26,20.06,95.5,19,9,5,124,0.16666666666666666
26,19.74,98.4,35,10,5,108,0.16666666666666666
25,18.83,96.5,27,10,0,10,0.0
21,17.44,95.6,20,14,1,72,0.0
24,16.7,99.0,9,14,0,69,0.5
19,16.58,104.2,50,13,0,12,0.0
19,16.53,95.9,33,16,3,176,0.0
25,16.26,95.2,79,10,8,166,0.16666666666666666
26,16.25,99.8,59,10,3,73,0.16666666666666666
19,16.25,104.7,12,14,5,177,0.0
24,16.0,93.7,52,10,2,149,0.0
24,15.81,95.5,51,12,2,34,0.16666666666666666
24,15.57,96.3,90,8,8,29,0.0
20,15.51,95.9,21,15,2,15,0.16666666666666666
21,15.03,94.9,18,12,5,75,0.0
31,14.95,97.2,158,5,21,178,0.16666666666666666
24,14.34,98.7,62,9,2,74,0.0
26,14.07,96.0,93,9,8,84,0.0
22,13.8,103.5,36,11,5,100,0.0
21,13.63,95.8,29,12,0,110,0.0
26,13.45,100.7,54,10,4,80,0.16666666666666666
28,13.31,101.3,155,7,7,33,0.0
23,12.61,96.4,187,7,15,89,0.0
29,12.46,105.5,123,6,16,179,0.0
20,12.43,96.0,49,13,0,78,0.0
29,11.67,99.4,234,6,17,52,0.0
27,11.1,96.9,106,8,14,180,0.0
26,9.38,100.3,298,9,23,167,0.0
28,7.89,102.6,307,6,10,115,0.0
26,5.07,104.4,194,8,27,181,0.0
26,4.53,101.6,316,7,24,136,0.0
22,4.2,106.6,193,13,26,86,0.0
22,2.04,107.6,263,15,12,182,0.0
24,1.91,104.9,242,11,20,94,0.0
22,1.68,103.3,160,14,19,87,0.0
20,0.63,105.2,167,15,18,118,0.0
25,0.36,101.9,348,9,30,164,0.0
22,0.04,103.5,237,10,28,183,0.0
20,-0.52,101.8,267,12,13,184,0.0
18,-1.19,111.4,137,17,22,58,0.0
20,-3.86,103.4,277,16,31,143,0.0
23,-4.04,107.5,327,12,29,98,0.0
23,-4.41,102.2,313,13,25,185,0.0
35,32.01,90.8,19,5,0,99,1.0
33,29.82,94.6,4,7,5,8,0.8333333333333334
33,29.67,90.4,8,5,1,25,0.5
29,29.64,91.0,2,8,5,47,0.5
29,27.97,95.5,73,6,2,15,0.0
27,25.14,96.6,58,9,3,21,0.16666666666666666
26,24.45,90.9,11,9,1,70,0.0
26,23.85,93.1,46,9,2,2,0.0
29,23.78,94.1,6,8,1,105,0.6666666666666666
27,23.05,98.7,51,8,2,76,0.3333333333333333
31,22.68,96.4,47,7,4,44,0.5
26,22.53,88.7,154,9,11,131,0.16666666666666666
28,22.52,94.6,64,6,0,69,0.16666666666666666
27,22.44,96.9,5,8,5,75,0.3333333333333333
25,21.87,100.0,3,11,5,6,0.3333333333333333
28,21.26,92.5,36,9,3,31,0.3333333333333333
25,20.97,95.8,67,9,4,5,0.0
23,20.95,100.3,28,12,1,7,0.16666666666666666
28,20.82,95.5,77,8,6,11,0.3333333333333333
27,20.25,95.9,45,9,2,74,0.3333333333333333
22,20.24,95.9,26,11,2,79,0.16666666666666666
22,19.06,99.8,34,12,1,14,0.0
19,18.76,94.9,44,14,3,176,0.0
25,18.71,93.2,72,11,9,0,0.16666666666666666
23,18.57,94.1,12,14,5,128,0.6666666666666666
23,18.32,94.2,40,11,4,186,0.0
25,18.27,92.9,61,9,0,110,0.0
22,17.27,100.7,62,11,0,165,0.16666666666666666
25,17.07,95.0,76,11,8,84,0.16666666666666666
22,17.06,94.1,79,11,9,147,0.0
27,16.79,98.8,33,9,4,187,0.16666666666666666
24,16.6,104.0,9,12,5,108,0.5
21,16.6,98.3,14,12,5,83,0.0
22,16.55,93.6,24,13,2,16,0.3333333333333333
20,16.19,96.8,7,13,1,23,0.0
28,15.62,96.6,251,6,13,169,0.16666666666666666
28,15.37,98.9,85,8,8,188,0.16666666666666666
24,14.49,95.5,39,11,0,78,0.16666666666666666
23,14.33,96.0,122,7,15,50,0.16666666666666666
21,14.25,99.7,57,13,4,80,0.0
23,14.15,100.5,29,13,2,103,0.0
19,13.78,99.4,22,13,1,28,0.0
30,13.24,96.0,188,5,12,189,0.3333333333333333
22,12.91,95.9,37,12,4,22,0.0
25,12.63,94.0,75,8,8,29,0.0
28,12.16,96.1,258,6,25,190,0.16666666666666666
19,11.65,99.1,32,13,4,129,0.0
20,11.5,99.7,84,12,9,191,0.0
23,11.13,98.5,107,13,11,192,0.16666666666666666
26,9.57,101.8,168,8,22,58,0.0
25,9.21,101.5,115,8,16,179,0.0
21,8.82,98.1,69,12,9,153,0.0
26,8.13,99.1,232,7,17,193,0.0
22,7.13,103.4,207,11,26,86,0.0
25,6.63,100.8,135,10,7,194,0.0
29,6.5,101.0,174,6,14,113,0.0
24,6.26,97.8,316,9,10,195,0.0
25,4.76,99.9,119,10,21,178,0.16666666666666666
23,3.74,104.6,180,13,20,196,0.0
22,3.44,100.1,222,12,24,93,0.0
20,2.95,102.9,95,15,19,145,0.0
26,2.45,100.9,228,9,28,197,0.0
21,-0.08,103.7,191,14,27,181,0.0
18,-5.1,109.6,149,18,18,198,0.0
22,-5.75,106.3,340,13,29,199,0.0
21,-7.4,107.2,342,11,30,200,0.0
18,-10.63,115.0,345,15,31,97,0.0
15,-11.39,108.5,288,20,23,201,0.0
38,36.91,84.4,27,1,3,21,0.6666666666666666
36,33.72,95.2,9,4,2,16,0.8333333333333334
35,32.48,92.0,2,4,5,6,1.0
34,32.36,87.5,38,4,4,5,0.5
33,30.65,92.0,42,3,0,99,0.16666666666666666
30,30.06,85.5,31,4,5,47,0.16666666666666666
35,27.78,93.9,67,3,6,11,0.5
26,27.24,89.2,26,9,4,187,0.3333333333333333
32,24.96,100.4,57,6,5,108,0.5
26,23.85,95.3,1,12,5,8,0.3333333333333333
24,22.8,89.7,8,11,1,105,0.3333333333333333
27,22.72,91.8,3,9,1,25,0.16666666666666666
30,22.21,93.6,103,5,11,131,0.3333333333333333
24,22.14,94.5,22,10,1,14,0.0
27,21.72,94.9,7,12,2,15,0.6666666666666666
25,21.49,97.5,18,9,1,7,0.0
27,21.21,88.9,11,9,5,146,0.5
31,20.98,95.3,137,4,11,192,0.16666666666666666
24,20.75,94.8,45,11,2,106,0.16666666666666666
23,20.09,90.1,4,11,0,165,0.16666666666666666
23,19.49,97.1,12,14,0,69,0.3333333333333333
22,19.13,95.1,5,11,0,130,0.16666666666666666
22,19.02,95.1,21,12,2,79,0.16666666666666666
20,18.94,93.4,33,14,1,23,0.0
25,17.64,94.9,24,10,1,70,0.3333333333333333
27,17.51,95.6,109,7,9,111,0.0
22,16.72,95.9,10,12,0,78,0.0
